MDM   I2KE  0011110000000000000000000000000000
MDM   I2KENB0011110000000000000000000000000000
MDM   I2KENG0011110000000000000000000000000000
MDM   I2KENN0011110000000000000000000000000000
MDM   I2KENO0011110000000000000000000000000000
MDM   I2KENY0011110000000000000000000000000000
MDM   I2KESB0011110000000000000000000000000000
MDM   I2KESG0011110000000000000000000000000000
MDM   I2KESN0011110000000000000000000000000000
MDM   I2KESO0011110000000000000000000000000000
MDM   I2KESR0011110000000000000000000000000000
MDM   I2KESY0011110000000000000000000000000000
MDM   I2LG  0011110000000000000000000000000000
MDM   I2LH  0011110000000000000000000000000000
MDM   I2LHNB0011110000000000000000000000000000
MDM   I2LHNY0011110000000000000000000000000000
MDM   I2LK  0011110000000000000000000000000000
MDM   I2LKNB0011110000000000000000000000000000
MDM   I2LKNG0011110000000000000000000000000000
MDM   I2LKNN0011110000000000000000000000000000
MDM   I2LKNO0011110000000000000000000000000000
MDM   I2LKNY0011110000000000000000000000000000
MDM   I2LKSB0011110000000000000000000000000000
MDM   I2LKSG0011110000000000000000000000000000
MDM   I2LKSN0011110000000000000000000000000000
MDM   I2LKSO0011110000000000000000000000000000
MDM   I2LKSR0011110000000000000000000000000000
MDM   I2LKSY0011110000000000000000000000000000
MDM   I2LP  0011110000000000000000000000000000
MDM   I2LPNB0011110000000000000000000000000000
MDM   I2LPNY0011110000000000000000000000000000
MDM   I2LS  0011110000000000000000000000000000
MDM   I2LSCG0011110000000000000000000000000000
MDM   I2LSCH0011110000000000000000000000000000
MDM   I2MG  0011110000000000000000000000000000
MDM   I2MH  0011110000000000000000000000000000
MDM   I2MHNB0011110000000000000000000000000000
MDM   I2MHNY0011110000000000000000000000000000
MDM   I2MK  0011110000000000000000000000000000
MDM   I2MKNB0011110000000000000000000000000000
MDM   I2MKNG0011110000000000000000000000000000
MDM   I2MKNN0011110000000000000000000000000000
MDM   I2MKNO0011110000000000000000000000000000
MDM   I2MKNY0011110000000000000000000000000000
MDM   I2MKSB0011110000000000000000000000000000
MDM   I2MKSG0011110000000000000000000000000000
MDM   I2MKSN0011110000000000000000000000000000
MDM   I2MKSO0011110000000000000000000000000000
MDM   I2MKSR0011110000000000000000000000000000
MDM   I2MKSY0011110000000000000000000000000000
MDM   I2MP  0011110000000000000000000000000000
MDM   I2MPNB0011110000000000000000000000000000
MDM   I2MPNY0011110000000000000000000000000000
MDM   I2MS  0011110000000000000000000000000000
MDM   I2MSCG0011110000000000000000000000000000
MDM   I2MSCH0011110000000000000000000000000000
MDM   I2PB  0011110000000000000000000000000000
MDM   I2PBXX0011110000000000000000000000000000
MDM   I2PC  0011110000000000000000000000000000
MDM   I2PCXX0011110000000000000000000000000000
MDM   I2PE  0011110000000000000000000000000000
MDM   I2PEXX0011110000000000000000000000000000
MDM   I2PG  0011110000000000000000000000000000
MDM   I2PH  0011110000000000000000000000000000
MDM   I2PHNB0011110000000000000000000000000000
MDM   I2PHNY0011110000000000000000000000000000
MDM   I2PK  0011110000000000000000000000000000
MDM   I2PKNB0011110000000000000000000000000000
MDM   I2PKNG0011110000000000000000000000000000
MDM   I2PKNN0011110000000000000000000000000000
MDM   I2PKNO0011110000000000000000000000000000
MDM   I2PKNY0011110000000000000000000000000000
MDM   I2PKSB0011110000000000000000000000000000
MDM   I2PKSG0011110000000000000000000000000000
MDM   I2PKSN0011110000000000000000000000000000
MDM   I2PKSO0011110000000000000000000000000000
MDM   I2PKSR0011110000000000000000000000000000
MDM   I2PKSY0011110000000000000000000000000000
MDM   I2SG  0011110000000000000000000000000000
MDM   I2SH  0011110000000000000000000000000000
MDM   I2SHNB0011110000000000000000000000000000
MDM   I2SHNY0011110000000000000000000000000000
MDM   I2SK  0011110000000000000000000000000000
MDM   I2SKNB0011110000000000000000000000000000
MDM   I2SKNG0011110000000000000000000000000000
MDM   I2SKNN0011110000000000000000000000000000
MDM   I2SKNO0011110000000000000000000000000000
MDM   I2SKNY0011110000000000000000000000000000
MDM   I2SKSB0011110000000000000000000000000000
MDM   I2SKSG0011110000000000000000000000000000
MDM   I2SKSN0011110000000000000000000000000000
MDM   I2SKSO0011110000000000000000000000000000
MDM   I2SKSR0011110000000000000000000000000000
MDM   I2SKSY0011110000000000000000000000000000
MDM   I2SP  0011110000000000000000000000000000
MDM   I2SPNB0011110000000000000000000000000000
MDM   I2SPNY0011110000000000000000000000000000
MDM   I2SS  0011110000000000000000000000000000
MDM   I2SSCG0011110000000000000000000000000000
MDM   I2SSCH0011110000000000000000000000000000
MDM   I2VG  0011110000000000000000000000000000
MDM   I2VH  0011110000000000000000000000000000
MDM   I2VHNB0011110000000000000000000000000000
MDM   I2VHNY0011110000000000000000000000000000
MDM   I2VK  0011110000000000000000000000000000
MDM   I2VKNB0011110000000000000000000000000000
MDM   I2VKNG0011110000000000000000000000000000
MDM   I2VKNN0011110000000000000000000000000000
MDM   I2VKNO0011110000000000000000000000000000
MDM   I2VKNY0011110000000000000000000000000000
MDM   I2VKSB0011110000000000000000000000000000
MDM   I2VKSG0011110000000000000000000000000000
MDM   I2VKSN0011110000000000000000000000000000
MDM   I2VKSO0011110000000000000000000000000000
MDM   I2VKSR0011110000000000000000000000000000
MDM   I2VKSY0011110000000000000000000000000000
MDM   I2VP  0011110000000000000000000000000000
MDM   I2VPNB0011110000000000000000000000000000
MDM   I2VPNY0011110000000000000000000000000000
MDM   I2VS  0011110000000000000000000000000000
MDM   I2VSCG0011110000000000000000000000000000
MDM   I2VSCH0011110000000000000000000000000000
MDM   I3FG  0011110000000000000000000000000000
MDM   I3FH  0011110000000000000000000000000000
MDM   I3FHNB0011110000000000000000000000000000
MDM   I3FHNY0011110000000000000000000000000000
MDM   I3FK  0011110000000000000000000000000000
MDM   I3FKNB0011110000000000000000000000000000
MDM   I3FKNN0011110000000000000000000000000000
MDM   I3FKNY0011110000000000000000000000000000
MDM   I3FKSB0011110000000000000000000000000000
MDM   I3FKSG0011110000000000000000000000000000
MDM   I3FKSN0011110000000000000000000000000000
MDM   I3FKSO0011110000000000000000000000000000
MDM   I3FKSR0011110000000000000000000000000000
MDM   I3FKSY0011110000000000000000000000000000
MDM   I3GG  0011110000000000000000000000000000
MDM   I3GH  0011110000000000000000000000000000
MDM   I3GHNB0011110000000000000000000000000000
MDM   I3GHNY0011110000000000000000000000000000
MDM   I3GK  0011110000000000000000000000000000
MDM   I3GKNB0011110000000000000000000000000000
MDM   I3GKNN0011110000000000000000000000000000
MDM   I3GKNY0011110000000000000000000000000000
MDM   I3GKSB0011110000000000000000000000000000
MDM   I3GKSG0011110000000000000000000000000000
MDM   I3GKSN0011110000000000000000000000000000
MDM   I3GKSO0011110000000000000000000000000000
MDM   I3GKSR0011110000000000000000000000000000
MDM   I3GKSY0011110000000000000000000000000000
MDM   I3HG  0011110000000000000000000000000000
MDM   I3HH  0011110000000000000000000000000000
MDM   I3HHNB0011110000000000000000000000000000
MDM   I3HHNY0011110000000000000000000000000000
MDM   I3HK  0011110000000000000000000000000000
MDM   I3HKNB0011110000000000000000000000000000
MDM   I3HKNN0011110000000000000000000000000000
MDM   I3HKNY0011110000000000000000000000000000
MDM   I3HKSB0011110000000000000000000000000000
MDM   I3HKSG0011110000000000000000000000000000
MDM   I3HKSN0011110000000000000000000000000000
MDM   I3HKSO0011110000000000000000000000000000
MDM   I3HKSR0011110000000000000000000000000000
MDM   I3HKSY0011110000000000000000000000000000
MDM   I3IG  0011110000000000000000000000000000
MDM   I3IH  0011110000000000000000000000000000
MDM   I3IHNB0011110000000000000000000000000000
MDM   I3IHNY0011110000000000000000000000000000
MDM   I3IK  0011110000000000000000000000000000
MDM   I3IKNB0011110000000000000000000000000000
MDM   I3IKNN0011110000000000000000000000000000
MDM   I3IKNY0011110000000000000000000000000000
MDM   I3IKSB0011110000000000000000000000000000
MDM   I3IKSG0011110000000000000000000000000000
MDM   I3IKSN0011110000000000000000000000000000
MDM   I3IKSO0011110000000000000000000000000000
MDM   I3IKSR0011110000000000000000000000000000
MDM   I3IKSY0011110000000000000000000000000000
MDM   ICKE  0011110000000000000000000000000000
MDM   IEHB  0011110000000000000000000000000000
MDM   IEHBNB0011110000000000000000000000000000
MDM   IEHBNY0011110000000000000000000000000000
MDM   IEHC  0011110000000000000000000000000000
MDM   IEHE  0011110000000000000000000000000000
MDM   IEHENB0011110000000000000000000000000000
MDM   IEHENY0011110000000000000000000000000000
MDM   IEKB  0011110000000000000000000000000000
MDM   IEKBNB0011110000000000000000000000000000
MDM   IEKBNG0011110000000000000000000000000000
MDM   IEKBNN0011110000000000000000000000000000
MDM   IEKBNO0011110000000000000000000000000000
MDM   IEKBNY0011110000000000000000000000000000
MDM   IEKBSB0011110000000000000000000000000000
MDM   IEKBSG0011110000000000000000000000000000
