I2MP  Impression 2 M 1.50                     20130401        3110010012150201325820100000000011010135000000000121309                   000000
I2MPNBImpression 2 M CM IQ 1.54 BN            20130401        3110010012153801214630100010000011010140000000000121275                   000000
I2MPNYImpression 2 M CM IQ 1.54 GY            20130401        3110010012153801214630100010000011010140000000000121288                   000000
I2MS  Impression 2 M Silikat 1.60             20130401        3110010011160402674380100000000011010133000000000121910                   000000
I2MSCGImpression 2 M Silikat CM 1.60 grey     20130401        3110010011160402754280100010000011010135000000000121927                   300000
I2MSCHImpression 2 M Silikat CM 1.60 brown    20130401        3110010011160402754280100010000011010135000000000121926                   300000
I2PB  Impr.Sport 2 1.50 b.c.                  20130401        3110010012150201325820010000000011010035000000000121340                   000000
I2PBXXImpr.Sport 2 1.50 b.c. ohne Besch.      20130401        3110010012150201325820010000000011010035000000000121342                   000000
I2PC  Impr.Sport 2 1.50 clip-in               20130401        3110010012150201325820100000000011010035000000000121343                   000000
I2PCXXImpr.Sport 2 1.50 clip-in ohne Besch.   20130401        3110010012150201325820100000000011010035000000000121344                   000000
I2PE  Impr.Sport 2 1.50 e.c.                  20130401        3110010012150201325820100000000011010135000000000121339                   000000
I2PEXXImpr.Sport 2 1.50 e.c. ohne Besch.      20130401        3110010012150201325820100000000011010135000000000121341                   000000
I2PG  Impr.Mono Plus 2 1.74                   20140401        0010010012173701473250100000000011010100000000000121507                   000000
I2PH  Impr.Mono Plus 2 1.67                   20130401        0010010012166801373140100000000011010100000000000121508                   000000
I2PHNBImpr.Mono Plus 2 CM IQ 1.67 BN          20130401        0010010012166801373140100010000011010140000000000121510                   300000
I2PHNYImpr.Mono Plus 2 CM IQ 1.67 GY          20130401        0010010012166801373140100010000011010140000000000121511                   300000
I2PK  Impr.Mono Plus 2 1.60                   20130401        0010010012159701304050100000000011010100000000000121509                   000000
I2PKNBImpr.Mono Plus 2 CM IQ 1.60 BN          20130401        0010010012159701304050100010000011010140000000000121512                   000000
I2PKNGImpr.Mono Plus 2 CM IQ  CO 1.60 GN      20130401201403310010010012159701304050100010000011010140000000000101886                   000000
I2PKNNImpr.Mono Plus 2 CM IQ 1.60 GN          20130401        0010010012159701304050100010000011010140000000000121513                   000000
I2PKNOImpr.Mono Plus 2 CM IQ  CO 1.60 OR      20130401201403310010010012159701304050100010000011010140000000000101887                   000000
I2PKNYImpr.Mono Plus 2 CM IQ 1.60 GY          20130401        0010010012159701304050100010000011010140000000000121514                   000000
I2PKSBImpr.Mono Plus 2 CM IQ SUN 1.60 BN      20140401        0010010012159701304050100010000011010140000000000101515                   000000
I2PKSGImpr.Mono Plus 2 CM IQ  CO SUN 1.60 GN  20140401        0010010012159701304050100010000011010140000000000101519                   000000
I2PKSNImpr.Mono Plus 2 CM IQ SUN 1.60 GN      20140401        0010010012159701304050100010000011010140000000000101516                   000000
I2PKSOImpr.Mono Plus 2 CM IQ  CO SUN 1.60 OR  20140401        0010010012159701304050100010000011010140000000000101520                   000000
I2PKSRImpr.Mono Plus 2 CM IQ  CO SUN 1.60 BN  20140401        0010010012159701304050100010000011010140000000000101518                   000000
I2PKSYImpr.Mono Plus 2 CM IQ SUN 1.60 GY      20140401        0010010012159701304050100010000011010140000000000101517                   000000
I2SG  Impression 2 XS 1.74                    20130401        3110010012174001473250100000000011010100000000000121007                   000000
I2SH  Impression 2 XS 1.67                    20130401        3110010012166801353140100000000011010138000000000121022                   000000
I2SHNBImpression 2 XS CM IQ 1.67 BN           20130401        3110010012166801373140100010000011010140000000000121044                   300000
I2SHNYImpression 2 XS CM IQ 1.67 GY           20130401        3110010012166801373140100010000011010140000000000121068                   300000
I2SK  Impression 2 XS 1.60                    20130401        3110010012159701304050100000000011010138000000000121306                   000000
I2SKNBImpression 2 XS CM IQ 1.60 BN           20130401        3110010012159701304050100010000011010140000000000121092                   000000
I2SKNGImpression 2 XS CM IQ CO 1.60 GN        20130401201403313110010012159701304050100010000011010140000000000101831                   000000
I2SKNNImpression 2 XS CM IQ 1.60 GN           20130401        3110010012159701304050100010000011010140000000000121134                   000000
I2SKNOImpression 2 XS CM IQ CO 1.60 OR        20130401201403313110010012159701304050100010000011010140000000000101834                   000000
I2SKNYImpression 2 XS CM IQ 1.60 GY           20130401        3110010012159701304050100010000011010140000000000121113                   000000
