I2LH  Impr. 2 L 1.67                          20130401        3110010012166801353140100000000011010138000000000121023                   000000
I2LHNBImpr. 2 L CM IQ 1.67 BN                 20130401        3110010012166801373140100010000011010140000000000121048                   300000
I2LHNYImpr. 2 L CM IQ 1.67 GY                 20130401        3110010012166801373140100010000011010140000000000121077                   300000
I2LK  Impr. 2 L 1.60                          20130401        3110010012159701304050100000000011010138000000000121400                   000000
I2LKNBImpr. 2 L CM IQ 1.60 BN                 20130401        3110010012159701304050100010000011010140000000000121114                   000000
I2LKNGImpression 2 L CM IQ Contr.1.60 GN      20130401201403313110010012159701304050100010000011010140000000000101051                   000000
I2LKNNImpr. 2 L CM IQ 1.60 GN                 20130401        3110010012159701304050100010000011010140000000000121186                   000000
I2LKNOImpression 2 L CM IQ Contr.1.60 OR      20130401201403313110010012159701304050100010000011010140000000000101052                   000000
I2LKNYImpr. 2 L CM IQ 1.60 GY                 20130401        3110010012159701304050100010000011010140000000000121165                   000000
I2LKPBImpr. 2 L POL 1.60 BN                   20150401        3110010012159701304200100200000011010340000000000121113                   001000
I2LKPGImpr. 2 L POL 1.60 GY                   20150401        3110010012159701304200100200000011010340000000000121112                   001000
I2LKPNImpr. 2 L POL 1.60 GN                   20150401        3110010012159701304200100200000011010340000000000121111                   001000
I2LKSBImpr. 2 L CM IQ SUN 1.60 BN             20140401        3110010012159701304050100010000011010140000000000101210                   000000
I2LKSGImpr. 2 L CM IQ CO SUN 1.60 GN          20140401        3110010012159701304050100010000011010340000000000101318                   000100
I2LKSNImpr. 2 L CM IQ SUN 1.60 GN             20140401        3110010012159701304050100010000011010140000000000101270                   000000
I2LKSOImpr. 2 L CM IQ CO SUN 1.60 OR          20140401        3110010012159701304050100010000011010240000000000101339                   000100
I2LKSRImpr. 2 L CM IQ CO SUN 1.60 BN          20140401        3110010012159701304050100010000011010240000000000101291                   000100
I2LKSYImpr. 2 L CM IQ SUN 1.60 GY             20140401        3110010012159701304050100010000011010140000000000101249                   000000
I2LP  Impr. 2 L 1.50                          20130401        3110010012150201325820100000000011010135000000000121404                   000000
I2LPNBImpr. 2 L CM IQ 1.54 BN                 20130401        3110010012153801214630100010000011010140000000000121364                   000000
I2LPNYImpr. 2 L CM IQ 1.54 GY                 20130401        3110010012153801214630100010000011010140000000000121383                   000000
I2LS  Impression 2 L Silikat 1.60             20130401        3110010011160402674380100000000011010133000000000121122                   000000
I2LSCGImpression 2 L Silikat CM 1.60 grey     20130401        3110010011160402754280100010000011010135000000000121139                   300000
I2LSCHImpression 2 L Silikat CM 1.60 brown    20130401        3110010011160402754280100010000011010135000000000121138                   300000
I2MG  Impr. 2 M 1.74                          20130401        3110010012173701473250100000000011010100000000000121006                   000000
I2MH  Impr. 2 M 1.67                          20130401        3110010012166801353140100000000011010138000000000121024                   000000
I2MHNBImpr. 2 M CM IQ 1.67 BN                 20130401        3110010012166801373140100010000011010140000000000121049                   300000
I2MHNYImpr. 2 M CM IQ 1.67 GY                 20130401        3110010012166801373140100010000011010140000000000121078                   300000
I2MK  Impr. 2 M 1.60                          20130401        3110010012159701304050100000000011010138000000000121401                   000000
I2MKNBImpr. 2 M CM IQ 1.60 BN                 20130401        3110010012159701304050100010000011010140000000000121118                   000000
I2MKNGImpression 2 M CM IQ CO 1.60 GN         20130401201403313110010012159701304050100010000011010140000000000101049                   000000
I2MKNNImpr. 2 M CM IQ 1.60 GN                 20130401        3110010012159701304050100010000011010140000000000121187                   000000
I2MKNOImpression 2 M CM IQ CO 1.60 OR         20130401201403313110010012159701304050100010000011010140000000000101050                   000000
I2MKNYImpr. 2 M CM IQ 1.60 GY                 20130401        3110010012159701304050100010000011010140000000000121166                   000000
I2MKPBImpr. 2 M POL 1.60 BN                   20150401        3110010012159701304200100200000011010340000000000121117                   001000
I2MKPGImpr. 2 M POL 1.60 GY                   20150401        3110010012159701304200100200000011010340000000000121116                   001000
I2MKPNImpr. 2 M POL 1.60 GN                   20150401        3110010012159701304200100200000011010340000000000121115                   001000
I2MKSBImpr. 2 M CM IQ SUN 1.60 BN             20140401        3110010012159701304050100010000011010140000000000101211                   000000
I2MKSGImpr. 2 M CM IQ CO SUN 1.60 GN          20140401        3110010012159701304050100010000011010340000000000101319                   000100
I2MKSNImpr. 2 M CM IQ SUN 1.60 GN             20140401        3110010012159701304050100010000011010140000000000101271                   000000
I2MKSOImpr. 2 M CM IQ CO SUN 1.60 OR          20140401        3110010012159701304050100010000011010240000000000101340                   000100
I2MKSRImpr. 2 M CM IQ CO SUN 1.60 BN          20140401        3110010012159701304050100010000011010240000000000101292                   000100
I2MKSYImpr. 2 M CM IQ SUN 1.60 GY             20140401        3110010012159701304050100010000011010140000000000101250                   000000
I2MP  Impr. 2 M 1.50                          20130401        3110010012150201325820100000000011010135000000000121405                   000000
I2MPNBImpr. 2 M CM IQ 1.54 BN                 20130401        3110010012153801214630100010000011010140000000000121365                   000000
I2MPNYImpr. 2 M CM IQ 1.54 GY                 20130401        3110010012153801214630100010000011010140000000000121384                   000000
I2MS  Impression 2 M Silikat 1.60             20130401        3110010011160402674380100000000011010133000000000121124                   000000
I2MSCGImpression 2 M Silikat CM 1.60 grey     20130401        3110010011160402754280100010000011010135000000000121141                   300000
I2MSCHImpression 2 M Silikat CM 1.60 brown    20130401        3110010011160402754280100010000011010135000000000121140                   300000
I2PB  Impr.Sport 2 1.50 b.c.                  20130401        3110010012150201325820010000000011010035000000000121466                   000000
I2PBXXImpr.Sport 2 1.50 b.c. ohne Besch.      20130401        3110010012150201325820010000000011010035000000000121468                   000000
I2PC  Impr.Sport 2 1.50 clip-in               20130401        3110010012150201325820100000000011010035000000000121469                   000000
I2PCXXImpr.Sport 2 1.50 clip-in ohne Besch.   20130401        3110010012150201325820100000000011010035000000000121470                   000000
I2PE  Impr.Sport 2 1.50 e.c.                  20130401        3110010012150201325820100000000011010135000000000121465                   000000
I2PEXXImpr.Sport 2 1.50 e.c. ohne Besch.      20130401        3110010012150201325820100000000011010135000000000121467                   000000
I2PG  Impr.Mono Plus 2 1.74                   20140401        0010010012173701473250100000000011010100000000000121681                   000000
I2PH  Impr.Mono Plus 2 1.67                   20130401        0010010012166801373140100000000011010100000000000121682                   000000
I2PHNBImpr.Mono Plus 2 CM IQ 1.67 BN          20130401        0010010012166801373140100010000011010140000000000121684                   300000
I2PHNYImpr.Mono Plus 2 CM IQ 1.67 GY          20130401        0010010012166801373140100010000011010140000000000121685                   300000
I2PK  Impr.Mono Plus 2 1.60                   20130401        0010010012159701304050100000000011010100000000000121683                   000000
I2PKNBImpr.Mono Plus 2 CM IQ 1.60 BN          20130401        0010010012159701304050100010000011010140000000000121686                   000000
I2PKNGImpr.Mono Plus 2 CM IQ  CO 1.60 GN      20130401201403310010010012159701304050100010000011010140000000000101100                   000000
I2PKNNImpr.Mono Plus 2 CM IQ 1.60 GN          20130401        0010010012159701304050100010000011010140000000000121687                   000000
I2PKNOImpr.Mono Plus 2 CM IQ  CO 1.60 OR      20130401201403310010010012159701304050100010000011010140000000000101101                   000000
I2PKNYImpr.Mono Plus 2 CM IQ 1.60 GY          20130401        0010010012159701304050100010000011010140000000000121688                   000000
I2PKPBImpr.Mono Plus 2 POL 1.60 BN            20150401        0010010012159701304200100200000011010340000000000101691                   001000
I2PKPGImpr.Mono Plus 2 POL 1.60 GY            20150401        0010010012159701304200100200000011010340000000000101690                   001000
I2PKPNImpr.Mono Plus 2 POL 1.60 GN            20150401        0010010012159701304200100200000011010340000000000101689                   001000
I2PKSBImpr.Mono Plus 2 CM IQ SUN 1.60 BN      20140401        0010010012159701304050100010000011010140000000000101692                   000000
I2PKSGImpr.Mono Plus 2 CM IQ  CO SUN 1.60 GN  20140401        0010010012159701304050100010000011010140000000000101696                   000000
I2PKSNImpr.Mono Plus 2 CM IQ SUN 1.60 GN      20140401        0010010012159701304050100010000011010140000000000101693                   000000
I2PKSOImpr.Mono Plus 2 CM IQ  CO SUN 1.60 OR  20140401        0010010012159701304050100010000011010140000000000101697                   000000
I2PKSRImpr.Mono Plus 2 CM IQ  CO SUN 1.60 BN  20140401        0010010012159701304050100010000011010140000000000101695                   000000
I2PKSYImpr.Mono Plus 2 CM IQ SUN 1.60 GY      20140401        0010010012159701304050100010000011010140000000000101694                   000000
I2SG  Impr. 2 XS 1.74                         20130401        3110010012173701473250100000000011010100000000000121007                   000000
